number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
     0, 0.8215977961432507, 2026-03-16 16:49:09.084470, 2026-03-16 17:00:51.434677, 0 days 00:11:42.350207, resnet34         ,           16,              1024, 0.001709230954683502  , resnet34             ,               16,                  1024, 0.001709230954683502  , COMPLETE
     1, 0.7953044733044733, 2026-03-16 17:00:51.434677, 2026-03-16 17:12:15.063386, 0 days 00:11:23.628709, resnet34         ,            8,               512, 0.0062455795319945094 , resnet34             ,                8,                   512, 0.0062455795319945094 , COMPLETE
     2, 0.8684624898910613, 2026-03-16 17:12:15.063386, 2026-03-16 17:32:12.125599, 0 days 00:19:57.062213, resnet50         ,           16,               256, 0.0030809660738611577 , resnet50             ,               16,                   256, 0.0030809660738611577 , COMPLETE
     3, 0.6850499026590107, 2026-03-16 17:32:12.125599, 2026-03-16 17:42:55.639198, 0 days 00:10:43.513599, resnet34         ,            2,               512, 0.0013629306082778064 , resnet34             ,                2,                   512, 0.0013629306082778064 , COMPLETE
     4, 0.7165423272476454, 2026-03-16 17:42:55.640201, 2026-03-16 17:53:38.208545, 0 days 00:10:42.568344, resnet50         ,            2,               128, 0.006295569355301304  , resnet50             ,                2,                   128, 0.006295569355301304  , COMPLETE
     5, 0.8122004357298476, 2026-03-16 17:53:38.208545, 2026-03-16 18:08:41.104946, 0 days 00:15:02.896401,                  ,            8,               512, 0.008042501933180029  ,                      ,                8,                   512, 0.008042501933180029  , COMPLETE
     6, 0.867893035397871 , 2026-03-16 18:08:41.106455, 2026-03-16 18:23:59.915548, 0 days 00:15:18.809093, resnet34         ,            2,                64, 0.007913991461086733  , resnet34             ,                2,                    64, 0.007913991461086733  , COMPLETE
     7, 0.8489466089466089, 2026-03-16 18:23:59.915548, 2026-03-16 18:35:02.253378, 0 days 00:11:02.337830, resnet18         ,            8,                64, 0.0019530049838954594 , resnet18             ,                8,                    64, 0.0019530049838954594 , COMPLETE
     8, 0.7972186904005086, 2026-03-16 18:35:02.253378, 2026-03-16 18:46:45.738380, 0 days 00:11:43.485002, resnet34         ,           16,               256, 0.0056287102829288465 , resnet34             ,               16,                   256, 0.0056287102829288465 , COMPLETE
     9, 0.7993855829704886, 2026-03-16 18:46:45.739645, 2026-03-16 19:03:26.797563, 0 days 00:16:41.057918, resnet34         ,           16,               128, 0.003063402767906124  , resnet34             ,               16,                   128, 0.003063402767906124  , COMPLETE
    10, 0.7775494071146245, 2026-03-16 19:03:26.797563, 2026-03-16 19:21:25.710299, 0 days 00:17:58.912736, resnet50         ,            4,               256, 0.003863398644755695  , resnet50             ,                4,                   256, 0.003863398644755695  , COMPLETE
    11, 0.7358083650766577, 2026-03-16 19:21:25.710299, 2026-03-16 19:32:06.939016, 0 days 00:10:41.228717, resnet50         ,            2,                64, 0.009833924123536415  , resnet50             ,                2,                    64, 0.009833924123536415  , COMPLETE
