Epoch: 1/200 | Val loss: 1.4012 | Val acc: 0.2500 | Train loss: 1.4586 | Train acc: 0.1897
Epoch: 2/200 | Val loss: 1.3873 | Val acc: 0.2500 | Train loss: 1.3925 | Train acc: 0.3103
Epoch: 3/200 | Val loss: 1.3419 | Val acc: 0.3929 | Train loss: 1.3146 | Train acc: 0.4052
Epoch: 4/200 | Val loss: 1.2880 | Val acc: 0.4286 | Train loss: 1.2464 | Train acc: 0.5172
Epoch: 5/200 | Val loss: 1.2290 | Val acc: 0.4286 | Train loss: 1.1985 | Train acc: 0.5603
Epoch: 6/200 | Val loss: 1.1676 | Val acc: 0.5357 | Train loss: 1.1512 | Train acc: 0.6034
Epoch: 7/200 | Val loss: 1.1286 | Val acc: 0.5714 | Train loss: 1.0850 | Train acc: 0.6379
Epoch: 8/200 | Val loss: 1.0986 | Val acc: 0.5714 | Train loss: 1.1134 | Train acc: 0.6121
Epoch: 9/200 | Val loss: 1.0807 | Val acc: 0.5714 | Train loss: 1.0635 | Train acc: 0.6638
Epoch: 10/200 | Val loss: 1.0604 | Val acc: 0.5714 | Train loss: 0.9871 | Train acc: 0.7241
Epoch: 11/200 | Val loss: 1.0358 | Val acc: 0.6071 | Train loss: 0.9588 | Train acc: 0.7672
Epoch: 12/200 | Val loss: 1.0293 | Val acc: 0.6071 | Train loss: 0.9590 | Train acc: 0.7500
Epoch: 13/200 | Val loss: 1.0212 | Val acc: 0.5714 | Train loss: 0.9721 | Train acc: 0.7155
Epoch: 14/200 | Val loss: 1.0159 | Val acc: 0.5714 | Train loss: 0.9840 | Train acc: 0.7241
Epoch: 15/200 | Val loss: 0.9988 | Val acc: 0.6071 | Train loss: 0.9223 | Train acc: 0.7672
Epoch: 16/200 | Val loss: 0.9903 | Val acc: 0.6071 | Train loss: 0.9446 | Train acc: 0.7241
Epoch: 17/200 | Val loss: 0.9877 | Val acc: 0.6071 | Train loss: 0.9234 | Train acc: 0.7241
Epoch: 18/200 | Val loss: 0.9864 | Val acc: 0.6429 | Train loss: 0.8921 | Train acc: 0.7672
Epoch: 19/200 | Val loss: 0.9720 | Val acc: 0.6429 | Train loss: 0.8565 | Train acc: 0.7672
Epoch: 20/200 | Val loss: 0.9734 | Val acc: 0.6071 | Train loss: 0.8728 | Train acc: 0.7241
Epoch: 21/200 | Val loss: 0.9634 | Val acc: 0.6786 | Train loss: 0.8413 | Train acc: 0.7672
Epoch: 22/200 | Val loss: 0.9579 | Val acc: 0.6786 | Train loss: 0.9361 | Train acc: 0.7069
Epoch: 23/200 | Val loss: 0.9598 | Val acc: 0.6786 | Train loss: 0.8640 | Train acc: 0.7931
Epoch: 24/200 | Val loss: 0.9464 | Val acc: 0.6786 | Train loss: 0.8717 | Train acc: 0.7845
Epoch: 25/200 | Val loss: 0.9483 | Val acc: 0.6786 | Train loss: 0.8676 | Train acc: 0.7931
Epoch: 26/200 | Val loss: 0.9435 | Val acc: 0.6786 | Train loss: 0.8630 | Train acc: 0.7500
Epoch: 27/200 | Val loss: 0.9551 | Val acc: 0.6786 | Train loss: 0.7934 | Train acc: 0.8621
Epoch: 28/200 | Val loss: 0.9485 | Val acc: 0.6786 | Train loss: 0.8834 | Train acc: 0.7500
Epoch: 29/200 | Val loss: 0.9459 | Val acc: 0.6786 | Train loss: 0.8514 | Train acc: 0.7931
Epoch: 30/200 | Val loss: 0.9574 | Val acc: 0.6786 | Train loss: 0.8689 | Train acc: 0.7759
Epoch: 31/200 | Val loss: 0.9379 | Val acc: 0.6786 | Train loss: 0.8416 | Train acc: 0.7672
Epoch: 32/200 | Val loss: 0.9187 | Val acc: 0.6786 | Train loss: 0.8336 | Train acc: 0.8017
Epoch: 33/200 | Val loss: 0.9156 | Val acc: 0.6786 | Train loss: 0.8281 | Train acc: 0.8190
Epoch: 34/200 | Val loss: 0.9009 | Val acc: 0.6786 | Train loss: 0.7980 | Train acc: 0.7931
Epoch: 35/200 | Val loss: 0.8955 | Val acc: 0.6786 | Train loss: 0.7884 | Train acc: 0.7759
Epoch: 36/200 | Val loss: 0.8805 | Val acc: 0.7143 | Train loss: 0.7957 | Train acc: 0.7759
Epoch: 37/200 | Val loss: 0.8861 | Val acc: 0.6786 | Train loss: 0.7374 | Train acc: 0.8362
Epoch: 38/200 | Val loss: 0.8649 | Val acc: 0.7143 | Train loss: 0.7750 | Train acc: 0.8103
Epoch: 39/200 | Val loss: 0.8606 | Val acc: 0.7143 | Train loss: 0.7357 | Train acc: 0.8190
Epoch: 40/200 | Val loss: 0.8523 | Val acc: 0.7500 | Train loss: 0.7520 | Train acc: 0.8017
Epoch: 41/200 | Val loss: 0.8566 | Val acc: 0.7143 | Train loss: 0.7356 | Train acc: 0.8534
Epoch: 42/200 | Val loss: 0.8445 | Val acc: 0.7500 | Train loss: 0.7078 | Train acc: 0.8793
Epoch: 43/200 | Val loss: 0.8361 | Val acc: 0.7500 | Train loss: 0.7023 | Train acc: 0.8534
Epoch: 44/200 | Val loss: 0.8409 | Val acc: 0.7143 | Train loss: 0.6797 | Train acc: 0.8534
Epoch: 45/200 | Val loss: 0.8448 | Val acc: 0.7143 | Train loss: 0.7133 | Train acc: 0.8448
Epoch: 46/200 | Val loss: 0.8290 | Val acc: 0.7500 | Train loss: 0.7178 | Train acc: 0.8276
Epoch: 47/200 | Val loss: 0.8304 | Val acc: 0.7500 | Train loss: 0.6999 | Train acc: 0.8707
Epoch: 48/200 | Val loss: 0.8299 | Val acc: 0.7500 | Train loss: 0.6945 | Train acc: 0.8707
