number, value              , datetime_start            , datetime_complete         , duration              , params_attention_dim, params_attention_heads, params_base_model, params_gamma, params_hidden_dim, params_lr             , params_smoothing    , state
     0, 0.9079388236844377 , 2026-07-15 20:12:28.180049, 2026-07-15 20:14:47.121122, 0 days 00:02:18.941073,                  256,                      8, resnet34         ,            3,               512, 4.110599812219982e-05 , 0.02313622248087444 , COMPLETE
     1, 0.8178965756911949 , 2026-07-15 20:14:47.121508, 2026-07-15 20:21:26.272175, 0 days 00:06:39.150667,                  128,                     16, convnext_small   ,            5,                64, 1.3576131566439892e-05, 0.01958176867278898 , COMPLETE
     2, 0.31778769269591783, 2026-07-15 20:21:26.272560, 2026-07-15 20:21:56.508508, 0 days 00:00:30.235948,                 1024,                     32, resnet18         ,            1,               128, 0.0044046214083616935 , 0.0538100959512026  , COMPLETE
     3, 0.9034225565995263 , 2026-07-15 20:21:56.508845, 2026-07-15 20:24:07.836303, 0 days 00:02:11.327458,                   64,                      4, resnet34         ,            2,               128, 0.00014899951873394632, 0.019396418544883314, COMPLETE
     4, 0.8645656818263453 , 2026-07-15 20:24:07.836835, 2026-07-15 20:26:12.384545, 0 days 00:02:04.547710,                   64,                      8, resnet34         ,            3,               256, 2.2188642274008746e-05, 0.029775763340271145, COMPLETE
     5, 0.8851628001628001 , 2026-07-15 20:26:12.384891, 2026-07-15 20:31:46.074653, 0 days 00:05:33.689762,                 1024,                     16, convnext_small   ,            1,               256, 0.000200604034205192  , 0.07487517812433656 , COMPLETE
     6, 0.8573335278737747 , 2026-07-15 20:31:46.075001, 2026-07-15 20:36:00.144741, 0 days 00:04:14.069740,                  512,                      4, convnext_tiny    ,            2,              1024, 1.2695239554976358e-05, 0.14115702119343862 , COMPLETE
     7, 0.8111682344998062 , 2026-07-15 20:36:00.145096, 2026-07-15 20:37:32.136377, 0 days 00:01:31.991281,                  256,                      4, resnet18         ,            4,               256, 1.0143403281102664e-05, 0.03921352189604273 , COMPLETE
     8, 0.8799135216618711 , 2026-07-15 20:37:32.136719, 2026-07-15 20:42:15.484678, 0 days 00:04:43.347959,                 1024,                     16, convnext_tiny    ,            4,              1024, 0.001602612633577042  , 0.033517778201788286, COMPLETE
     9, 0.905817512190061  , 2026-07-15 20:42:15.485046, 2026-07-15 20:45:16.303572, 0 days 00:03:00.818526,                  512,                      8, convnext_tiny    ,            2,               256, 0.0009551923154354932 , 0.1464341141299531  , COMPLETE
    10, 0.8909302115989123 , 2026-07-15 20:45:16.303934, 2026-07-15 20:47:16.210755, 0 days 00:01:59.906821,                  256,                      8, resnet34         ,            0,               512, 5.7294706250022315e-05, 0.010126970159856124, COMPLETE
    11, 0.90836797874613   , 2026-07-15 20:47:16.211092, 2026-07-15 20:52:02.604213, 0 days 00:04:46.393121,                  512,                      8, convnext_tiny    ,            3,               512, 0.0009429337585266549 , 0.22793005286565937 , COMPLETE
    12, 0.9137611315691059 , 2026-07-15 20:52:02.604626, 2026-07-15 20:53:18.956037, 0 days 00:01:16.351411,                  256,                      8, resnet34         ,            3,               512, 0.000659991795179339  , 0.2744950291261353  , COMPLETE
    13, 0.9039673557789499 , 2026-07-15 20:53:18.956406, 2026-07-15 20:56:26.250059, 0 days 00:03:07.293653,                  512,                      8, convnext_tiny    ,            4,               512, 0.0005982180721939332 , 0.2402184922500717  , COMPLETE
    14, 0.8739445286539778 , 2026-07-15 20:56:26.250430, 2026-07-15 20:57:34.746046, 0 days 00:01:08.495616,                  128,                     32, resnet34         ,            3,               512, 0.0029913854547525833 , 0.2978529660417961  , COMPLETE
    15, 0.904550983881984  , 2026-07-15 20:57:34.746405, 2026-07-15 21:01:14.033418, 0 days 00:03:39.287013,                  256,                      8, convnext_tiny    ,            5,               512, 0.0004214706487847335 , 0.15871643703868207 , COMPLETE
    16, 0.86690739058342   , 2026-07-15 21:01:14.033763, 2026-07-15 21:02:14.440624, 0 days 00:01:00.406861,                  512,                      8, resnet18         ,            4,               512, 0.0015310695695891425 , 0.09442923977800759 , COMPLETE
    17, 0.06325611325611326, 2026-07-15 21:02:14.440967, 2026-07-15 21:04:36.364103, 0 days 00:02:21.923136,                  256,                      8, convnext_small   ,            1,                64, 0.0063785510821982696 , 0.23612673947056667 , COMPLETE
    18, 0.9123265003650328 , 2026-07-15 21:04:36.364479, 2026-07-15 21:06:39.748729, 0 days 00:02:03.384250,                  512,                     32, resnet34         ,            3,               512, 0.0001247582375760191 , 0.10196293184412981 , COMPLETE
    19, 0.9057057192425826 , 2026-07-15 21:06:39.749078, 2026-07-15 21:08:43.915456, 0 days 00:02:04.166378,                   64,                     32, resnet34         ,            2,               512, 7.983520543153715e-05 , 0.09491964766642157 , COMPLETE
    20, 0.8639813499205372 , 2026-07-15 21:08:43.915818, 2026-07-15 21:10:18.611204, 0 days 00:01:34.695386,                  128,                     32, resnet34         ,            0,                64, 0.00012991879523590715, 0.06295015533401636 , COMPLETE
    21, 0.9274256231346975 , 2026-07-15 21:10:18.611549, 2026-07-15 21:12:11.123558, 0 days 00:01:52.512009,                  512,                     32, resnet34         ,            3,               512, 0.0003153406138383622 , 0.1882631069929521  , COMPLETE
    22, 0.9212180980175985 , 2026-07-15 21:12:11.123900, 2026-07-15 21:13:19.511139, 0 days 00:01:08.387239,                  512,                     32, resnet34         ,            3,               512, 0.00023678548631851103, 0.17099432190781205 , COMPLETE
    23, 0.9142952120269697 , 2026-07-15 21:13:19.511485, 2026-07-15 21:14:44.944783, 0 days 00:01:25.433298,                  512,                     32, resnet34         ,            4,               512, 0.0003095070251335277 , 0.18098356370942145 , COMPLETE
    24, 0.8888029234338081 , 2026-07-15 21:14:44.945128, 2026-07-15 21:16:03.122794, 0 days 00:01:18.177666,                  512,                     32, resnet34         ,            4,               128, 0.0002985607576481875 , 0.16493742106201165 , COMPLETE
    25, 0.9197851664781362 , 2026-07-15 21:16:03.123142, 2026-07-15 21:17:28.788062, 0 days 00:01:25.664920,                  512,                     32, resnet34         ,            5,              1024, 0.00031962202603127857, 0.1814865331209297  , COMPLETE
    26, 0.9145852783413004 , 2026-07-15 21:17:28.788433, 2026-07-15 21:19:04.943300, 0 days 00:01:36.154867,                  512,                     32, resnet34         ,            5,              1024, 0.00022784937629360936, 0.12100699427900141 , COMPLETE
    27, 0.9203671199061271 , 2026-07-15 21:19:04.943657, 2026-07-15 21:20:30.906008, 0 days 00:01:25.962351,                  512,                     32, resnet34         ,            5,              1024, 0.0004375782398368517 , 0.20355093798861962 , COMPLETE
    28, 0.9196955733475343 , 2026-07-15 21:20:30.906372, 2026-07-15 21:22:04.037574, 0 days 00:01:33.131202,                  512,                     32, resnet34         ,            5,              1024, 0.0005116012774659968 , 0.1226891533625545  , COMPLETE
    29, 0.8989529928611648 , 2026-07-15 21:22:04.037913, 2026-07-15 21:23:43.067237, 0 days 00:01:39.029324,                  512,                     32, resnet34         ,            2,              1024, 4.096117975646555e-05 , 0.20541912500919804 , COMPLETE
    30, 0.9054118021620102 , 2026-07-15 21:23:43.067601, 2026-07-15 21:24:40.058040, 0 days 00:00:56.990439,                  512,                     32, resnet18         ,            3,              1024, 7.641123710016052e-05 , 0.076793894832488   , COMPLETE
    31, 0.9118438686067124 , 2026-07-15 21:24:40.058389, 2026-07-15 21:25:59.143212, 0 days 00:01:19.084823,                  512,                     32, resnet34         ,            5,              1024, 0.00036438074385985943, 0.1843670843139133  , COMPLETE
