number,value,datetime_start,datetime_complete,duration,params_base_model,params_heads,params_hidden_dim,params_learning_rate,user_attrs_base_model,user_attrs_heads,user_attrs_hidden_dim,user_attrs_lr,state
0,0.875,2026-06-19 15:53:19.682317,2026-06-19 15:55:10.735762,0 days 00:01:51.053445,convnext_base,8,256,0.03676759441309717,convnext_base,8,256,0.03676759441309717,COMPLETE
1,0.23214285714285715,2026-06-19 15:55:10.736149,2026-06-19 15:55:24.247398,0 days 00:00:13.511249,resnet18,16,256,0.020539620211282306,resnet18,16,256,0.020539620211282306,COMPLETE
2,0.8928571428571429,2026-06-19 15:55:24.247694,2026-06-19 15:56:19.959381,0 days 00:00:55.711687,convnext_tiny,4,512,9.544893281471799e-05,convnext_tiny,4,512,9.544893281471799e-05,COMPLETE
3,0.6071428571428571,2026-06-19 15:56:19.959674,2026-06-19 15:57:06.448465,0 days 00:00:46.488791,convnext_tiny,8,256,0.04985298544550379,convnext_tiny,8,256,0.04985298544550379,COMPLETE
4,0.35714285714285715,2026-06-19 15:57:06.448762,2026-06-19 15:57:42.830554,0 days 00:00:36.381792,resnet34,4,128,0.020234761334116787,resnet34,4,128,0.020234761334116787,COMPLETE
5,0.9285714285714286,2026-06-19 15:57:42.830846,2026-06-19 15:59:46.097646,0 days 00:02:03.266800,convnext_small,2,64,0.003377561822283311,convnext_small,2,64,0.003377561822283311,COMPLETE
6,0.875,2026-06-19 15:59:46.097931,2026-06-19 16:00:12.000663,0 days 00:00:25.902732,resnet34,16,64,0.005501336675807967,resnet34,16,64,0.005501336675807967,COMPLETE
7,0.875,2026-06-19 16:00:12.000956,2026-06-19 16:00:44.521425,0 days 00:00:32.520469,resnet34,16,256,0.012050233790320176,resnet34,16,256,0.012050233790320176,COMPLETE
8,0.6964285714285714,2026-06-19 16:00:44.521710,2026-06-19 16:01:12.815947,0 days 00:00:28.294237,resnet34,16,1024,0.025216542449554055,resnet34,16,1024,0.025216542449554055,COMPLETE
9,0.5535714285714286,2026-06-19 16:01:12.816227,2026-06-19 16:02:15.323656,0 days 00:01:02.507429,convnext_small,8,64,0.0380653292809198,convnext_small,8,64,0.0380653292809198,COMPLETE
10,0.8928571428571429,2026-06-19 16:02:15.323944,2026-06-19 16:03:18.333042,0 days 00:01:03.009098,convnext_small,2,64,0.011356829421504306,convnext_small,2,64,0.011356829421504306,COMPLETE
11,0.9107142857142857,2026-06-19 16:03:18.333336,2026-06-19 16:04:28.806431,0 days 00:01:10.473095,convnext_tiny,2,512,0.0010097518414628295,convnext_tiny,2,512,0.0010097518414628295,COMPLETE
12,0.9107142857142857,2026-06-19 16:04:28.806720,2026-06-19 16:05:43.096903,0 days 00:01:14.290183,resnet50,2,512,0.00042540070571338035,resnet50,2,512,0.00042540070571338035,COMPLETE
13,0.9107142857142857,2026-06-19 16:05:43.097178,2026-06-19 16:06:46.136639,0 days 00:01:03.039461,convnext_small,2,512,0.009428892121923934,convnext_small,2,512,0.009428892121923934,COMPLETE
14,0.9107142857142857,2026-06-19 16:06:46.136925,2026-06-19 16:07:42.389753,0 days 00:00:56.252828,convnext_tiny,2,128,0.01531313156480044,convnext_tiny,2,128,0.01531313156480044,COMPLETE
15,0.9107142857142857,2026-06-19 16:07:42.390027,2026-06-19 16:09:36.892613,0 days 00:01:54.502586,convnext_base,2,1024,0.005442084791304182,convnext_base,2,1024,0.005442084791304182,COMPLETE
16,0.5357142857142857,2026-06-19 16:09:36.893288,2026-06-19 16:10:20.748911,0 days 00:00:43.855623,resnet50,2,64,0.02954784648131437,resnet50,2,64,0.02954784648131437,COMPLETE
17,0.8928571428571429,2026-06-19 16:10:20.749196,2026-06-19 16:10:41.797851,0 days 00:00:21.048655,resnet18,2,512,0.004542329626388584,resnet18,2,512,0.004542329626388584,COMPLETE
18,0.8928571428571429,2026-06-19 16:10:41.798213,2026-06-19 16:11:52.446069,0 days 00:01:10.647856,convnext_small,2,512,0.016714509295513304,convnext_small,2,512,0.016714509295513304,COMPLETE
19,0.6428571428571429,2026-06-19 16:11:52.446426,2026-06-19 16:12:43.101884,0 days 00:00:50.655458,convnext_tiny,4,64,0.03135456261452863,convnext_tiny,4,64,0.03135456261452863,COMPLETE
20,0.9285714285714286,2026-06-19 16:12:43.102169,2026-06-19 16:14:45.632764,0 days 00:02:02.530595,convnext_small,2,1024,0.007270867804672136,convnext_small,2,1024,0.007270867804672136,COMPLETE
21,0.8928571428571429,2026-06-19 16:14:45.633056,2026-06-19 16:15:49.050409,0 days 00:01:03.417353,convnext_small,2,1024,0.006549594457966018,convnext_small,2,1024,0.006549594457966018,COMPLETE
22,0.9464285714285714,2026-06-19 16:15:49.050711,2026-06-19 16:17:45.388627,0 days 00:01:56.337916,convnext_small,2,1024,0.0015069019904248417,convnext_small,2,1024,0.0015069019904248417,COMPLETE
23,0.9107142857142857,2026-06-19 16:17:45.388921,2026-06-19 16:18:56.654427,0 days 00:01:11.265506,convnext_small,2,1024,0.008633097742651651,convnext_small,2,1024,0.008633097742651651,COMPLETE
24,0.8928571428571429,2026-06-19 16:18:56.654734,2026-06-19 16:20:08.015777,0 days 00:01:11.361043,convnext_small,2,1024,0.014693457523460112,convnext_small,2,1024,0.014693457523460112,COMPLETE
25,0.9464285714285714,2026-06-19 16:20:08.016063,2026-06-19 16:21:33.848733,0 days 00:01:25.832670,convnext_small,2,1024,0.0034148287851339483,convnext_small,2,1024,0.0034148287851339483,COMPLETE
26,0.9642857142857143,2026-06-19 16:21:33.849020,2026-06-19 16:23:44.836540,0 days 00:02:10.987520,convnext_small,2,1024,0.002674993468828606,convnext_small,2,1024,0.002674993468828606,COMPLETE
