number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_base_model,params_hidden_dim,params_lr,state
0,0.05808174025228289,2026-06-25 14:43:14.426389,2026-06-25 14:45:10.723692,0 days 00:01:56.297303,4,convnext_small,64,0.014799352633658457,COMPLETE
1,0.03623048135243257,2026-06-25 14:45:10.724117,2026-06-25 14:45:53.522470,0 days 00:00:42.798353,4,resnet34,256,0.017069064365582365,COMPLETE
2,0.5251242644549281,2026-06-25 14:45:53.522816,2026-06-25 14:47:33.598022,0 days 00:01:40.075206,8,convnext_tiny,512,0.003736215077007546,COMPLETE
3,0.8445572829195568,2026-06-25 14:47:33.598362,2026-06-25 14:48:46.391648,0 days 00:01:12.793286,4,resnet18,256,3.642959239013739e-05,COMPLETE
4,0.04440246382790843,2026-06-25 14:48:46.391983,2026-06-25 14:49:07.165552,0 days 00:00:20.773569,32,resnet18,256,0.01721111593789656,COMPLETE
5,0.12825306421365537,2026-06-25 14:49:07.165905,2026-06-25 14:50:29.372895,0 days 00:01:22.206990,8,convnext_tiny,128,0.006506044397975288,COMPLETE
6,0.9022379434278749,2026-06-25 14:50:29.373224,2026-06-25 14:53:37.601641,0 days 00:03:08.228417,8,convnext_tiny,64,9.918497940159516e-05,COMPLETE
7,0.8731627270791358,2026-06-25 14:53:37.602015,2026-06-25 14:57:52.725069,0 days 00:04:15.123054,32,convnext_small,256,4.63562484730246e-05,COMPLETE
8,0.055836139169472505,2026-06-25 14:57:52.725435,2026-06-25 14:59:15.224197,0 days 00:01:22.498762,4,convnext_tiny,256,0.011684799806338598,COMPLETE
9,0.039490812977714514,2026-06-25 14:59:15.224527,2026-06-25 15:01:09.277016,0 days 00:01:54.052489,8,convnext_small,64,0.006391235234213696,COMPLETE
10,0.8788657579285415,2026-06-25 15:01:09.277363,2026-06-25 15:02:28.013674,0 days 00:01:18.736311,16,resnet34,1024,0.00028945411632404146,COMPLETE
11,0.8786027110302471,2026-06-25 15:02:28.013996,2026-06-25 15:03:45.795437,0 days 00:01:17.781441,16,resnet34,1024,0.0002741483448381115,COMPLETE
12,0.8847125059024372,2026-06-25 15:03:45.795784,2026-06-25 15:05:01.519946,0 days 00:01:15.724162,16,resnet34,1024,0.00027637448053292294,COMPLETE
13,0.9327425044091712,2026-06-25 15:05:01.520309,2026-06-25 15:06:52.335631,0 days 00:01:50.815322,16,resnet34,1024,0.0010299704085497388,COMPLETE
14,0.9011959427645704,2026-06-25 15:06:52.335962,2026-06-25 15:11:13.155060,0 days 00:04:20.819098,8,convnext_tiny,64,0.0016191331828111102,COMPLETE
15,0.905337074844411,2026-06-25 15:11:13.155400,2026-06-25 15:12:58.736886,0 days 00:01:45.581486,16,resnet34,128,8.877270720276958e-05,COMPLETE
16,0.7024170514423428,2026-06-25 15:12:58.737207,2026-06-25 15:14:56.950457,0 days 00:01:58.213250,16,resnet34,128,1.61426133505854e-05,COMPLETE
17,0.8906217512135387,2026-06-25 15:14:56.950808,2026-06-25 15:16:39.641015,0 days 00:01:42.690207,16,resnet34,128,0.0009386836717205277,COMPLETE
18,0.8118426075535602,2026-06-25 15:16:39.641382,2026-06-25 15:18:09.222646,0 days 00:01:29.581264,16,resnet34,512,0.00010288779125942698,COMPLETE
19,0.7521136653467354,2026-06-25 15:18:09.222999,2026-06-25 15:19:23.931982,0 days 00:01:14.708983,16,resnet34,128,0.0019841117959910654,COMPLETE
20,0.8585789606476842,2026-06-25 15:19:23.932337,2026-06-25 15:20:04.628509,0 days 00:00:40.696172,16,resnet18,1024,0.0006516319621930608,COMPLETE
21,0.8989426697550268,2026-06-25 15:20:04.628824,2026-06-25 15:23:36.301323,0 days 00:03:31.672499,8,convnext_tiny,64,0.00011119097026873006,COMPLETE
22,0.8093857477553246,2026-06-25 15:23:36.301701,2026-06-25 15:27:33.419204,0 days 00:03:57.117503,32,convnext_tiny,128,1.0925397882224902e-05,COMPLETE
23,0.8867499207653148,2026-06-25 15:27:33.419536,2026-06-25 15:29:59.918502,0 days 00:02:26.498966,8,resnet34,64,0.00010156549408173068,COMPLETE
24,0.8775443528874902,2026-06-25 15:29:59.919182,2026-06-25 15:32:35.802532,0 days 00:02:35.883350,16,resnet34,1024,3.9037371882289204e-05,COMPLETE
25,0.08612794612794612,2026-06-25 15:32:35.802892,2026-06-25 15:34:04.301284,0 days 00:01:28.498392,16,convnext_tiny,512,0.041800591115447885,COMPLETE
26,0.926841780385999,2026-06-25 15:34:04.301653,2026-06-25 15:39:30.599828,0 days 00:05:26.298175,8,convnext_small,64,0.000501677085211053,COMPLETE
27,0.9267676097848513,2026-06-25 15:39:30.600182,2026-06-25 15:43:44.935361,0 days 00:04:14.335179,32,convnext_small,1024,0.00058248665185798,COMPLETE
28,0.880485683570983,2026-06-25 15:43:44.935707,2026-06-25 15:47:10.654357,0 days 00:03:25.718650,32,convnext_small,1024,0.0005637355978493635,COMPLETE
29,0.9054155009525854,2026-06-25 15:47:10.654720,2026-06-25 15:51:24.509126,0 days 00:04:13.854406,32,convnext_small,1024,0.001202038192769962,COMPLETE
30,0.8459483310898664,2026-06-25 15:51:24.509496,2026-06-25 15:56:22.910386,0 days 00:04:58.400890,32,convnext_small,1024,0.002542117355037101,COMPLETE
31,0.9145256070313278,2026-06-25 15:56:22.910733,2026-06-25 15:59:58.722275,0 days 00:03:35.811542,32,convnext_small,1024,0.0009560252651212156,COMPLETE
32,0.9204819244440564,2026-06-25 15:59:58.722588,2026-06-25 16:04:54.112071,0 days 00:04:55.389483,32,convnext_small,1024,0.0003651055494381802,COMPLETE
33,0.9414726631393298,2026-06-25 16:04:54.112419,2026-06-25 16:09:35.270800,0 days 00:04:41.158381,32,convnext_small,1024,0.0005276746704274298,COMPLETE
34,0.9324847374847375,2026-06-25 16:09:35.271159,2026-06-25 16:13:43.748061,0 days 00:04:08.476902,4,convnext_small,1024,0.0004146429754967342,COMPLETE
35,0.22179471765491335,2026-06-25 16:13:43.748742,2026-06-25 16:15:51.565152,0 days 00:02:07.816410,4,convnext_small,64,0.00338774679176902,COMPLETE
36,0.9355252965383684,2026-06-25 16:15:51.565516,2026-06-25 16:21:02.074869,0 days 00:05:10.509353,4,convnext_small,512,0.00016870126456689267,COMPLETE
37,0.8577179619892861,2026-06-25 16:21:02.075279,2026-06-25 16:22:10.111985,0 days 00:01:08.036706,4,resnet18,512,0.00016718515837886146,COMPLETE
38,0.9102679455620631,2026-06-25 16:22:10.112355,2026-06-25 16:26:14.782733,0 days 00:04:04.670378,4,convnext_small,512,0.0001782839363004188,COMPLETE
39,0.9110450660450661,2026-06-25 16:26:14.783100,2026-06-25 16:30:33.032106,0 days 00:04:18.249006,4,convnext_small,512,0.0001728273785236698,COMPLETE
